node	new_node
Aricia_agestis	32
Aricia_artaxerxes	31
Celastrina_argiolus	3
Cyaniris_semiargus	8
Cyclargus_thomasi	6
Glaucopsyche_alexis	4
Helleia_helle	1
Lycaena_phlaeas	2
Lysandra_bellargus	10
Lysandra_coridon	11
Lysandra_hispana	12
Maurus_vogelii	9
n18	62
n23	43
n26	44
n32	48
n34	54
n38	55
n41	56
n42	59
n43	51
n44	52
n46	57
n48	60
n54	58
n56	61
Phengaris_arion	5
Plebejus_argus	7
Polyommatus_admetus	28
Polyommatus_amandus	15
Polyommatus_atlantica	17
Polyommatus_celina	20
Polyommatus_damocles	25
Polyommatus_damon	22
Polyommatus_damone	23
Polyommatus_daphnis	14
Polyommatus_dorylas	18
Polyommatus_eriwanensis	30
Polyommatus_eros	19
Polyommatus_escheri	13
Polyommatus_fulgens	29
Polyommatus_icarus	21
Polyommatus_iphigenia	27
Polyommatus_pseudactis	26
Polyommatus_surakovi	24
Polyommatus_thersites	16
n52	53
n40	50
n36	49
n32	47
n28	46
n24	45
n20	42
n17	41
n16	40
n14	39
n10	38
n6	37
n2	34
n8	36
n5	35
