species	chr_num_in_assembly
Polyommatus_damon	45
Polyommatus_iphigenia	14
Polyommatus_admetus	80
Polyommatus_fulgens	109
Polyommatus_damone	67
Polyommatus_damocles	25
Polyommatus_pseudactis	29
Polyommatus_eriwanensis	33
Polyommatus_surakovi	50
Cyaniris_semiargus	24
Lysandra_bellargus	45
Lysandra_hispana	84
Lysandra_coridon	90
Polyommatus_daphnis	24
Polyommatus_escheri	23
Polyommatus_amandus	23
Aricia_agestis	23
Aricia_artaxerxes	23
Celastrina_argiolus	25
Cyclargus_thomasi	24
Glaucopsyche_alexis	23
Phengaris_arion	23
Lycaena_phlaeas	24
Melitaea_cinxia	31
Helleia_helle	24
Polyommatus_atlantica	229
Polyommatus_dorylas	150
Plebejus_argus	23
Polyommatus_celina	23
Polyommatus_icarus	23
Polyommatus_eros	23
Polyommatus_thersites	24
Maurus_vogelii	24
